method,scenario,sla_embb_mean,sla_embb_std,sla_urllc_mean,sla_urllc_std,sla_mmtc_mean,sla_mmtc_std,sla_avg_mean,sla_avg_std,throughput_mean_mean,throughput_mean_std,bandwidth_util_mean,bandwidth_util_std,fairness_mean,fairness_std,decision_latency_mean_mean,decision_latency_mean_std,total_tokens_mean,total_tokens_std
M1-Fixed,burst,0.214,0.0879,0.86,0.0825,0.762,0.0719,0.612,0.0285,4769.256,218.1141,0.7599,0.0059,0.8188,0.0669,0.0,0.0,0.0,0.0
M1-Fixed,steady,0.348,0.1207,0.754,0.1405,0.748,0.0867,0.6167,0.0398,4617.264,254.0163,0.538,0.0095,0.8988,0.0715,0.0,0.0,0.0,0.0
M2-Threshold,burst,0.25,0.0515,0.434,0.0358,0.514,0.0378,0.3993,0.0267,4466.7,325.4886,0.7599,0.0059,0.9225,0.0335,0.0,0.0,0.0,0.0
M2-Threshold,steady,0.366,0.0522,0.496,0.0167,0.612,0.0383,0.4913,0.0204,4378.996,211.9715,0.538,0.0095,0.956,0.0225,0.0,0.0,0.0,0.0
M3-PPO,burst,0.27,0.0447,0.67,0.043,0.604,0.0709,0.5147,0.0265,4650.9487,221.6581,0.7599,0.0059,0.89,0.0328,0.0001,0.0,0.0,0.0
M3-PPO,steady,0.472,0.0593,0.392,0.075,0.632,0.0779,0.4987,0.0154,4350.4461,261.9792,0.538,0.0095,0.9495,0.0354,0.0001,0.0,0.0,0.0
M4-SingleLLM,burst,0.164,0.0792,0.97,0.0122,0.308,0.0991,0.4807,0.0374,5073.6352,267.0172,0.7599,0.0059,0.6453,0.0708,5.7914,2.458,26244.4,235.7399
M4-SingleLLM,steady,0.278,0.092,0.92,0.0332,0.302,0.1277,0.5,0.0361,4940.3389,331.8311,0.538,0.0095,0.7255,0.0361,8.8695,0.2367,26123.6,325.2004
M5-PA,burst,0.074,0.0493,0.92,0.043,0.172,0.0634,0.3887,0.0285,5548.9648,364.7161,0.7599,0.0059,0.5127,0.0596,6.6525,1.5775,124838.4,185.0089
M5-PA,steady,0.172,0.0585,0.874,0.0313,0.192,0.0492,0.4127,0.0222,5336.0791,403.6042,0.538,0.0095,0.6125,0.0483,8.069,0.1072,124938.0,121.6491
M5-PC,burst,0.178,0.0746,0.87,0.0671,0.77,0.0745,0.606,0.021,4649.7145,176.3428,0.7599,0.0059,0.7943,0.0551,6.633,1.4809,125347.6,156.95
M5-PC,steady,0.276,0.0826,0.78,0.1288,0.698,0.0835,0.5847,0.0374,4634.9315,232.2914,0.538,0.0095,0.8651,0.0651,7.9363,0.1866,125244.0,134.3224
