sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.39,0.59,0.71,0.5633333333333334,4294.24,0.5238725,0.9479571177271066,0.0,0,42,steady,M1-Fixed,0
0.45,0.62,0.8,0.6233333333333334,4938.0,0.545935,0.9500638465509279,0.0,0,123,steady,M1-Fixed,0
0.24,0.89,0.87,0.6666666666666666,4514.68,0.5384475,0.8299099547699075,0.0,0,456,steady,M1-Fixed,0
0.46,0.8,0.65,0.6366666666666667,4801.72,0.5342925000000001,0.9544253459958663,0.0,0,789,steady,M1-Fixed,0
0.2,0.87,0.71,0.5933333333333334,4537.68,0.5473225,0.8117858057904176,0.0,0,1024,steady,M1-Fixed,0
0.32,0.76,0.7,0.5933333333333334,4866.16,0.7521625000000001,0.9026780626780627,0.0,0,42,burst,M1-Fixed,0
0.25,0.78,0.8,0.61,5088.54,0.7636775,0.851552368601724,0.0,0,123,burst,M1-Fixed,0
0.15,0.92,0.87,0.6466666666666666,4514.68,0.75826,0.7716406282035511,0.0,0,456,burst,M1-Fixed,0
0.25,0.92,0.73,0.6333333333333333,4711.84,0.7578475000000001,0.8346048920331067,0.0,0,789,burst,M1-Fixed,0
0.1,0.92,0.71,0.5766666666666667,4665.06,0.7674100000000001,0.7332843317407816,0.0,0,1024,burst,M1-Fixed,0
