sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.36,0.48,0.64,0.49333333333333335,4212.07,0.5238725,0.9487179487179486,0.0,0,42,steady,M2-Threshold,0
0.42,0.5,0.61,0.5099999999999999,4619.29,0.545935,0.9772072636192859,0.0,0,123,steady,M2-Threshold,0
0.35,0.48,0.66,0.49666666666666665,4331.26,0.5384475,0.9385330796871697,0.0,0,456,steady,M2-Threshold,0
0.41,0.52,0.57,0.5,4580.09,0.5342925000000001,0.9824469478648153,0.0,0,789,steady,M2-Threshold,0
0.29,0.5,0.58,0.4566666666666667,4152.27,0.5473225,0.9330847626149641,0.0,0,1024,steady,M2-Threshold,0
0.27,0.42,0.54,0.41,4792.25,0.7521625000000001,0.9323349972268442,0.0,0,42,burst,M2-Threshold,0
0.27,0.42,0.49,0.3933333333333333,4828.9,0.7636775,0.9483721563819643,0.0,0,123,burst,M2-Threshold,0
0.26,0.39,0.55,0.4000000000000001,4211.51,0.75826,0.919188050555343,0.0,0,456,burst,M2-Threshold,0
0.29,0.48,0.53,0.43333333333333335,4368.58,0.7578475000000001,0.9461426491994178,0.0,0,789,burst,M2-Threshold,0
0.16,0.46,0.46,0.36000000000000004,4132.26,0.7674100000000001,0.8663101604278075,0.0,0,1024,burst,M2-Threshold,0
