step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
0,"[True, False, True]",1,0,1,0.6666666666666666,5784.0,0.552,0,0,0.4322666666666667,0.5,0.3,0.2,1.0,0.0,1.0,42,steady,M2-Threshold
1,"[True, True, False]",1,1,0,0.6666666666666666,5251.0,0.452,0,0,0.40226666666666666,0.45,0.35,0.2,1.0,0.5,0.5,42,steady,M2-Threshold
2,"[False, True, False]",0,1,0,0.3333333333333333,5280.0,0.517,0,0,0.29954444444444434,0.35000000000000003,0.39999999999999997,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,42,steady,M2-Threshold
3,"[False, True, True]",0,1,1,0.6666666666666666,5698.0,0.44825000000000004,0,0,0.359475,0.25000000000000006,0.44999999999999996,0.3,0.5,0.75,0.5,42,steady,M2-Threshold
4,"[False, True, True]",0,1,1,0.6666666666666666,5772.0,0.46975,0,0,0.37425833333333336,0.30000000000000004,0.35,0.35,0.4,0.8,0.6,42,steady,M2-Threshold
5,"[False, True, True]",0,1,1,0.6666666666666666,5528.0,0.60775,0,0,0.4212138888888889,0.35000000000000003,0.25,0.39999999999999997,0.3333333333333333,0.8333333333333334,0.6666666666666666,42,steady,M2-Threshold
6,"[False, False, True]",0,0,1,0.3333333333333333,4146.0,0.515,0,0,0.3068809523809524,0.4,0.15000000000000002,0.44999999999999996,0.2857142857142857,0.7142857142857143,0.7142857142857143,42,steady,M2-Threshold
7,"[True, False, True]",1,0,1,0.6666666666666666,4327.0,0.49,0,0,0.372,0.45,0.05000000000000002,0.49999999999999994,0.375,0.625,0.75,42,steady,M2-Threshold
8,"[True, False, True]",1,0,1,0.6666666666666666,4688.0,0.48725,0,0,0.37580462962962957,0.5,0.10000000000000002,0.39999999999999997,0.4444444444444444,0.5555555555555556,0.7777777777777778,42,steady,M2-Threshold
9,"[True, False, True]",1,0,1,0.6666666666666666,4350.0,0.546,0,0,0.39713333333333334,0.55,0.15000000000000002,0.3,0.5,0.5,0.8,42,steady,M2-Threshold
10,"[True, False, True]",1,0,1,0.6666666666666666,6244.000000000001,0.43625,0,0,0.36420833333333336,0.6000000000000001,0.2,0.2,0.5,0.5,0.8,42,steady,M2-Threshold
11,"[True, False, False]",1,0,0,0.3333333333333333,6571.000000000001,0.54125,0,0,0.312375,0.6500000000000001,0.24999999999999997,0.1,0.5,0.4,0.8,42,steady,M2-Threshold
12,"[True, False, False]",1,0,0,0.3333333333333333,7934.0,0.636,0,0,0.34079999999999994,0.7,0.24999999999999994,0.05,0.6,0.3,0.8,42,steady,M2-Threshold
13,"[True, False, False]",1,0,0,0.3333333333333333,7934.0,0.45575000000000004,0,0,0.27005833333333334,0.7,0.24999999999999994,0.05,0.7,0.2,0.7,42,steady,M2-Threshold
14,"[True, False, True]",1,0,1,0.6666666666666666,6168.0,0.43775,0,0,0.331325,0.6,0.3,0.10000000000000003,0.8,0.1,0.7,42,steady,M2-Threshold
15,"[True, False, True]",1,0,1,0.6666666666666666,8573.0,0.4955,0,0,0.34865,0.4999999999999999,0.35,0.15000000000000002,0.9,0.0,0.7,42,steady,M2-Threshold
16,"[True, True, True]",1,1,1,1.0,6832.0,0.47725,0,0,0.443175,0.4,0.4,0.20000000000000007,1.0,0.1,0.7,42,steady,M2-Threshold
17,"[True, True, True]",1,1,1,1.0,6800.0,0.57725,0,0,0.4898416666666666,0.30000000000000004,0.45,0.25000000000000006,1.0,0.2,0.7,42,steady,M2-Threshold
18,"[False, True, True]",0,1,1,0.6666666666666666,6016.0,0.44925,0,0,0.384775,0.20000000000000007,0.5,0.30000000000000004,0.9,0.3,0.7,42,steady,M2-Threshold
19,"[False, True, True]",0,1,1,0.6666666666666666,5989.999999999999,0.46075000000000005,0,0,0.38822500000000004,0.10000000000000005,0.5499999999999999,0.35,0.8,0.4,0.7,42,steady,M2-Threshold
20,"[False, True, True]",0,1,1,0.6666666666666666,6176.0,0.6054999999999999,0,0,0.43165,0.05,0.6,0.35000000000000003,0.7,0.5,0.7,42,steady,M2-Threshold
21,"[False, True, False]",0,1,0,0.3333333333333333,5219.0,0.4435,0,0,0.3163833333333333,0.05,0.6,0.35000000000000003,0.6,0.6,0.7,42,steady,M2-Threshold
22,"[False, True, False]",0,1,0,0.3333333333333333,5742.0,0.5365,0,0,0.3442833333333333,0.1,0.65,0.25000000000000006,0.5,0.7,0.7,42,steady,M2-Threshold
23,"[False, True, False]",0,1,0,0.3333333333333333,4871.999999999999,0.62775,0,0,0.37165833333333337,0.15000000000000002,0.5499999999999999,0.30000000000000004,0.4,0.8,0.7,42,steady,M2-Threshold
24,"[False, True, False]",0,1,0,0.3333333333333333,3199.0,0.46475,0,0,0.3060916666666666,0.2,0.44999999999999996,0.35000000000000003,0.3,0.9,0.6,42,steady,M2-Threshold
25,"[False, True, True]",0,1,1,0.6666666666666666,3246.0,0.54525,0,0,0.3969083333333333,0.25,0.35,0.4,0.2,1.0,0.6,42,steady,M2-Threshold
26,"[False, False, True]",0,0,1,0.3333333333333333,3272.0,0.48174999999999996,0,0,0.27785833333333326,0.3,0.25,0.45,0.1,0.9,0.6,42,steady,M2-Threshold
27,"[False, False, True]",0,0,1,0.3333333333333333,3664.0,0.7005,0,0,0.31015,0.35,0.15000000000000002,0.5,0.0,0.8,0.6,42,steady,M2-Threshold
28,"[False, False, True]",0,0,1,0.3333333333333333,3723.0,0.5355,0,0,0.24398333333333327,0.39999999999999997,0.05000000000000002,0.55,0.0,0.7,0.6,42,steady,M2-Threshold
