sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.47,0.33,0.66,0.48666666666666664,4159.20843928683,0.5238725,0.9283163487501086,0.00012604236602783202,0,42,steady,M3-PPO,0.012604236602783203
0.57,0.31,0.67,0.5166666666666666,4694.4989545132585,0.545935,0.9206039008315129,9.358644485473632e-05,0,123,steady,M3-PPO,0.009358644485473633
0.43,0.39,0.72,0.5133333333333333,4193.733776305739,0.5384475,0.9241680305510093,9.702444076538086e-05,0,456,steady,M3-PPO,0.009702444076538086
0.47,0.49,0.52,0.49333333333333335,4570.364687056479,0.5342925000000001,0.9982681615167257,0.00010021448135375976,0,789,steady,M3-PPO,0.010021448135375977
0.42,0.44,0.59,0.48333333333333334,4134.424744206879,0.5473225,0.9759550666109641,0.0001021265983581543,0,1024,steady,M3-PPO,0.01021265983581543
0.33,0.63,0.66,0.54,4777.255701596049,0.7521625000000001,0.9292543021032506,9.632825851440429e-05,0,42,burst,M3-PPO,0.00963282585144043
0.27,0.63,0.6,0.5,4947.770973769153,0.7636775,0.9038322487346347,9.165287017822266e-05,0,123,burst,M3-PPO,0.009165287017822266
0.29,0.66,0.69,0.5466666666666666,4373.862276786232,0.75826,0.9003146548838453,8.731603622436524e-05,0,456,burst,M3-PPO,0.008731603622436523
0.25,0.71,0.53,0.49666666666666665,4628.083189213657,0.7578475000000001,0.8731956735496559,8.884191513061523e-05,0,789,burst,M3-PPO,0.008884191513061523
0.21,0.72,0.54,0.49,4527.771283478161,0.7674100000000001,0.8433438707411308,0.00013296842575073243,0,1024,burst,M3-PPO,0.013296842575073242
