step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
0,"[True, False, False]",1,0,0,0.3333333333333333,5911.814594128008,0.552,0.0025620460510253906,0,0.1989333333333333,0.659726445854209,0.17013677707289557,0.17013677707289557,1.0,0.0,0.0,42,steady,M3-PPO
1,"[True, True, True]",1,1,1,1.0,4620.0,0.452,0.00017881393432617188,0,0.4689333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,42,steady,M3-PPO
2,"[False, True, True]",0,1,1,0.6666666666666666,4826.666666666666,0.517,0.00012993812561035156,0,0.4217666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,42,steady,M3-PPO
3,"[True, False, False]",1,0,0,0.3333333333333333,5818.0541820734,0.44825000000000004,0.00011897087097167969,0,0.29280833333333334,0.558093646276021,0.2209531768619896,0.2209531768619896,0.75,0.5,0.5,42,steady,M3-PPO
4,"[True, False, True]",1,0,1,0.6666666666666666,6090.060554078902,0.46975,9.989738464355469e-05,0,0.37425833333333336,0.5565004468378244,0.22174977658108783,0.22174977658108783,0.8,0.4,0.6,42,steady,M3-PPO
5,"[True, False, True]",1,0,1,0.6666666666666666,6231.635474933171,0.60775,9.298324584960938e-05,0,0.4212138888888889,0.5655696541842249,0.21721517290788764,0.21721517290788764,0.8333333333333334,0.3333333333333333,0.6666666666666666,42,steady,M3-PPO
6,"[True, False, False]",1,0,0,0.3333333333333333,5132.22899590961,0.515,0.0001678466796875,0,0.3068809523809523,0.5179838175141315,0.24100809124293432,0.24100809124293432,0.8571428571428571,0.2857142857142857,0.5714285714285714,42,steady,M3-PPO
7,"[True, True, True]",1,1,1,1.0,5414.006951965862,0.49,9.703636169433594e-05,0,0.4595,0.42508689957326606,0.28745655021336697,0.28745655021336697,0.875,0.375,0.625,42,steady,M3-PPO
8,"[True, True, True]",1,1,1,1.0,5059.17974969932,0.48725,9.298324584960938e-05,0,0.4795083333333333,0.3521228482374262,0.3239385758812869,0.3239385758812869,0.8888888888888888,0.4444444444444444,0.6666666666666666,42,steady,M3-PPO
9,"[False, True, True]",0,1,1,0.6666666666666666,4226.666666666666,0.546,9.322166442871094e-05,0,0.43046666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.5,0.7,42,steady,M3-PPO
