sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.28,0.89,0.2,0.4566666666666666,4545.739385675325,0.5238725,0.6871316126670326,9.139226472377777,26117,42,steady,M4-SingleLLM,913.9226472377777
0.33,0.88,0.24,0.48333333333333334,5265.005943533345,0.545935,0.7448542175930847,8.62793701171875,26387,123,steady,M4-SingleLLM,862.793701171875
0.21,0.95,0.5,0.5533333333333333,4709.465525690711,0.5384475,0.7676193659813916,8.85332386493683,26126,456,steady,M4-SingleLLM,885.3323864936829
0.4,0.93,0.21,0.5133333333333333,5291.721353544192,0.5342925000000001,0.739507327720611,8.6484090924263,25594,789,steady,M4-SingleLLM,864.84090924263
0.17,0.95,0.36,0.49333333333333335,4889.762077865116,0.5473225,0.6881558278353754,9.078808979988098,26394,1024,steady,M4-SingleLLM,907.8808979988098
0.25,0.97,0.25,0.49,5144.5518125642375,0.7521625000000001,0.6757669575007035,9.04397158384323,26402,42,burst,M4-SingleLLM,904.3971583843231
0.21,0.95,0.37,0.5099999999999999,5400.3063251791755,0.7636775,0.7201661282879556,7.842708065509796,25879,123,burst,M4-SingleLLM,784.2708065509796
0.12,0.98,0.45,0.5166666666666667,4696.680859743832,0.75826,0.680228772049039,3.996381378173828,26132,456,burst,M4-SingleLLM,399.6381378173828
0.19,0.98,0.21,0.45999999999999996,5188.102613965634,0.7578475000000001,0.6100326734576205,4.070679008960724,26400,789,burst,M4-SingleLLM,407.0679008960724
0.05,0.97,0.26,0.4266666666666667,4938.534357350224,0.7674100000000001,0.5401912298054733,4.003394846916199,26409,1024,burst,M4-SingleLLM,400.3394846916199
