step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
0,"[True, True, True]",1,1,1,1.0,5784.0,0.552,11.290982961654663,267,0.6656,0.45,0.35,0.2,1.0,1.0,1.0,42,steady,M4-SingleLLM
1,"[True, True, False]",1,1,0,0.6666666666666666,5436.0,0.452,8.798947095870972,267,0.48560000000000003,0.45,0.4,0.15,1.0,1.0,0.5,42,steady,M4-SingleLLM
2,"[True, True, False]",1,1,0,0.6666666666666666,6096.0,0.517,9.653311967849731,267,0.4773222222222222,0.45,0.45,0.1,1.0,1.0,0.3333333333333333,42,steady,M4-SingleLLM
3,"[True, True, False]",1,1,0,0.6666666666666666,6732.0,0.44825000000000004,11.065204858779907,267,0.44280833333333336,0.4,0.5,0.1,1.0,1.0,0.25,42,steady,M4-SingleLLM
4,"[True, True, False]",1,1,0,0.6666666666666666,7351.999999999998,0.46975,8.925593137741089,267,0.440925,0.4,0.5,0.1,1.0,1.0,0.2,42,steady,M4-SingleLLM
5,"[False, True, False]",0,1,0,0.3333333333333333,7411.999999999998,0.60775,8.78557014465332,267,0.38232499999999997,0.4,0.5,0.1,0.8333333333333334,1.0,0.16666666666666666,42,steady,M4-SingleLLM
6,"[False, True, False]",0,1,0,0.3333333333333333,5958.0,0.515,7.452240943908691,267,0.33069047619047615,0.4,0.45,0.15,0.7142857142857143,1.0,0.14285714285714285,42,steady,M4-SingleLLM
7,"[True, True, False]",1,1,0,0.6666666666666666,6388.0,0.49,9.264554262161255,267,0.39283333333333337,0.5,0.45,0.05,0.75,1.0,0.125,42,steady,M4-SingleLLM
8,"[True, True, False]",1,1,0,0.6666666666666666,6396.0,0.48725,7.674762010574341,266,0.3943231481481482,0.55,0.4,0.05,0.7777777777777778,1.0,0.1111111111111111,42,steady,M4-SingleLLM
9,"[False, True, False]",0,1,0,0.3333333333333333,4905.0,0.546,9.683942317962646,266,0.33046666666666663,0.4,0.45,0.15,0.7,1.0,0.1,42,steady,M4-SingleLLM
10,"[True, True, False]",1,1,0,0.6666666666666666,6475.0,0.43625,7.3588080406188965,267,0.34754166666666664,0.5,0.45,0.05,0.7,1.0,0.0,42,steady,M4-SingleLLM
11,"[True, True, False]",1,1,0,0.6666666666666666,6124.0,0.54125,8.61692190170288,267,0.3790416666666666,0.5,0.4,0.1,0.7,1.0,0.0,42,steady,M4-SingleLLM
12,"[True, False, False]",1,0,0,0.3333333333333333,7397.0,0.636,10.653298139572144,267,0.32413333333333333,0.55,0.4,0.05,0.7,0.9,0.0,42,steady,M4-SingleLLM
13,"[True, False, True]",1,0,1,0.6666666666666666,7088.42105263158,0.45575000000000004,9.623036861419678,267,0.33672500000000005,0.4736842105263158,0.4210526315789474,0.10526315789473685,0.7,0.8,0.1,42,steady,M4-SingleLLM
14,"[True, True, True]",1,1,1,1.0,5932.0,0.43775,10.670490264892578,267,0.41465833333333335,0.4,0.45,0.15,0.7,0.8,0.2,42,steady,M4-SingleLLM
15,"[True, True, True]",1,1,1,1.0,8478.0,0.4955,12.080806970596313,268,0.4653166666666667,0.4,0.5,0.1,0.8,0.8,0.3,42,steady,M4-SingleLLM
16,"[True, True, False]",1,1,0,0.6666666666666666,7558.0,0.47725,8.503722906112671,267,0.40984166666666666,0.45,0.5,0.05,0.9,0.8,0.3,42,steady,M4-SingleLLM
17,"[True, True, False]",1,1,0,0.6666666666666666,8256.0,0.57725,7.341619253158569,267,0.4398416666666667,0.5,0.45,0.05,0.9,0.8,0.3,42,steady,M4-SingleLLM
18,"[True, True, False]",1,1,0,0.6666666666666666,7608.0,0.44925,8.758580923080444,267,0.4014416666666666,0.48,0.47,0.05,0.9,0.8,0.3,42,steady,M4-SingleLLM
19,"[True, True, False]",1,1,0,0.6666666666666666,7036.0,0.46075000000000005,7.518735885620117,267,0.42155833333333337,0.45,0.5,0.05,1.0,0.8,0.3,42,steady,M4-SingleLLM
20,"[False, True, False]",0,1,0,0.3333333333333333,7688.0,0.6054999999999999,8.139374017715454,267,0.38165,0.4,0.55,0.05,0.9,0.8,0.3,42,steady,M4-SingleLLM
21,"[True, True, False]",1,1,0,0.6666666666666666,6238.888888888889,0.4435,9.467169046401978,267,0.3997166666666666,0.49999999999999994,0.4444444444444444,0.05555555555555555,0.9,0.8,0.3,42,steady,M4-SingleLLM
22,"[False, True, False]",0,1,0,0.3333333333333333,5904.0,0.5365,9.005177974700928,267,0.36094999999999994,0.4,0.5,0.1,0.8,0.9,0.3,42,steady,M4-SingleLLM
23,"[False, True, False]",0,1,0,0.3333333333333333,5255.0,0.62775,9.578330993652344,267,0.37165833333333326,0.45,0.5,0.05,0.7,1.0,0.2,42,steady,M4-SingleLLM
