sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.56,0.43,0.13,0.37333333333333335,4424.7512544445435,0.5238725,0.8112792652955633,8.767892241477966,125575,42,steady,M5-NoNeg,876.7892241477966
0.57,0.49,0.19,0.4166666666666667,5218.59743463936,0.545935,0.8664670326623413,8.08355961561203,125684,123,steady,M5-NoNeg,808.355961561203
0.25,0.84,0.62,0.57,4907.209354970478,0.5384475,0.8457266811279827,8.03297861814499,125172,456,steady,M5-NoNeg,803.2978618144989
0.62,0.53,0.16,0.4366666666666666,5033.950402926475,0.5342925000000001,0.8279538765860953,8.069453344345092,125663,789,steady,M5-NoNeg,806.9453344345093
0.24,0.81,0.5,0.5166666666666667,4614.78,0.5473225,0.8309985818546575,7.752201063632965,125464,1024,steady,M5-NoNeg,775.2201063632965
0.41,0.67,0.39,0.49000000000000005,5062.110841028782,0.7521625000000001,0.9365492133662725,8.189503877162933,125524,42,burst,M5-NoNeg,818.9503877162933
0.3,0.74,0.32,0.45333333333333337,5184.493408764403,0.7636775,0.8331531531531534,7.799898867607117,125384,123,burst,M5-NoNeg,779.9898867607117
0.1,0.93,0.5,0.51,4613.604939358167,0.75826,0.6936616588141167,6.430914881229401,125203,456,burst,M5-NoNeg,643.0914881229401
0.26,0.8,0.19,0.4166666666666667,4681.986314767297,0.7578475000000001,0.7003271928645062,5.091287128925323,125493,789,burst,M5-NoNeg,509.12871289253235
0.13,0.91,0.56,0.5333333333333333,4733.63,0.7674100000000001,0.7365210886702342,5.057452001571655,125384,1024,burst,M5-NoNeg,505.7452001571655
