step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
0,"[True, False, True]",1,0,1,0.6666666666666666,5784.0,0.552,8.170104026794434,1260,0.4322666666666667,0.5,0.3,0.2,1.0,0.0,1.0,42,steady,M5-NoNeg
1,"[True, False, False]",1,0,0,0.3333333333333333,5310.0,0.452,7.483622312545776,1263,0.25226666666666664,0.5,0.3,0.2,1.0,0.0,0.5,42,steady,M5-NoNeg
2,"[True, False, False]",1,0,0,0.3333333333333333,5552.0,0.517,7.043596029281616,1244,0.24398888888888887,0.5,0.3,0.2,1.0,0.0,0.3333333333333333,42,steady,M5-NoNeg
3,"[True, False, True]",1,0,1,0.6666666666666666,4804.0,0.44825000000000004,7.680752754211426,1257,0.31780833333333336,0.5,0.1,0.4,1.0,0.0,0.5,42,steady,M5-NoNeg
4,"[True, False, True]",1,0,1,0.6666666666666666,4928.0,0.46975,7.524773120880127,1244,0.34092500000000003,0.5,0.1,0.4,1.0,0.0,0.6,42,steady,M5-NoNeg
5,"[True, False, True]",1,0,1,0.6666666666666666,6705.0,0.60775,7.61879301071167,1247,0.3934361111111111,0.625,0.25,0.125,1.0,0.0,0.6666666666666666,42,steady,M5-NoNeg
6,"[True, False, False]",1,0,0,0.3333333333333333,5602.424242424242,0.515,8.403401136398315,1266,0.2830714285714286,0.6262626262626263,0.25252525252525254,0.12121212121212122,1.0,0.0,0.5714285714285714,42,steady,M5-NoNeg
7,"[True, True, False]",1,1,0,0.6666666666666666,5744.999999999999,0.49,8.442414045333862,1261,0.3511666666666666,0.63,0.25,0.12,1.0,0.125,0.5,42,steady,M5-NoNeg
8,"[True, False, False]",1,0,0,0.3333333333333333,6054.4,0.48725,8.246373891830444,1256,0.2721009259259259,0.63,0.25,0.12,1.0,0.1111111111111111,0.4444444444444444,42,steady,M5-NoNeg
9,"[True, False, False]",1,0,0,0.3333333333333333,5016.0,0.546,8.457134008407593,1271,0.28046666666666664,0.63,0.25,0.12,1.0,0.1,0.4,42,steady,M5-NoNeg
10,"[True, False, False]",1,0,0,0.3333333333333333,6562.2,0.43625,8.205649852752686,1251,0.230875,0.63,0.25,0.12,1.0,0.1,0.3,42,steady,M5-NoNeg
11,"[True, False, True]",1,0,1,0.6666666666666666,6474.2,0.54125,9.399227142333984,1261,0.3457083333333333,0.63,0.25,0.12,1.0,0.1,0.4,42,steady,M5-NoNeg
12,"[True, False, True]",1,0,1,0.6666666666666666,7638.6,0.636,7.905629873275757,1252,0.39080000000000004,0.63,0.25,0.12,1.0,0.1,0.5,42,steady,M5-NoNeg
13,"[True, False, True]",1,0,1,0.6666666666666666,7638.6,0.45575000000000004,8.614300012588501,1255,0.33672500000000005,0.63,0.25,0.12,1.0,0.1,0.5,42,steady,M5-NoNeg
14,"[True, False, True]",1,0,1,0.6666666666666666,6203.4,0.43775,8.211519002914429,1258,0.331325,0.63,0.25,0.12,1.0,0.1,0.5,42,steady,M5-NoNeg
15,"[True, False, True]",1,0,1,0.6666666666666666,8979.599999999999,0.4955,8.398911952972412,1267,0.34865,0.63,0.25,0.12,1.0,0.1,0.5,42,steady,M5-NoNeg
16,"[True, False, False]",1,0,0,0.3333333333333333,7219.2,0.47725,8.554259061813354,1278,0.2765083333333333,0.63,0.25,0.12,1.0,0.1,0.5,42,steady,M5-NoNeg
17,"[True, False, False]",1,0,0,0.3333333333333333,8466.4,0.57725,9.238250970840454,1259,0.2898416666666666,0.63,0.25,0.12,1.0,0.0,0.5,42,steady,M5-NoNeg
18,"[True, False, False]",1,0,0,0.3333333333333333,7710.4,0.44925,8.384362936019897,1270,0.2514416666666666,0.63,0.25,0.12,1.0,0.0,0.5,42,steady,M5-NoNeg
19,"[True, False, False]",1,0,0,0.3333333333333333,6488.4,0.46075000000000005,7.966889142990112,1259,0.2548916666666667,0.63,0.25,0.12,1.0,0.0,0.5,42,steady,M5-NoNeg
20,"[True, True, False]",1,1,0,0.6666666666666666,6587.199999999999,0.6054999999999999,8.321514129638672,1270,0.38164999999999993,0.63,0.25,0.12,1.0,0.1,0.5,42,steady,M5-NoNeg
21,"[True, False, False]",1,0,0,0.3333333333333333,5481.0,0.4435,8.783413887023926,1260,0.24971666666666664,0.63,0.25,0.12,1.0,0.1,0.4,42,steady,M5-NoNeg
22,"[True, True, False]",1,1,0,0.6666666666666666,5077.8,0.5365,10.350920915603638,1264,0.3442833333333333,0.63,0.25,0.12,1.0,0.2,0.3,42,steady,M5-NoNeg
23,"[False, True, False]",0,1,0,0.3333333333333333,4237.0,0.62775,8.447335004806519,1260,0.28832499999999994,0.63,0.3,0.07,0.9,0.3,0.2,42,steady,M5-NoNeg
24,"[True, True, False]",1,1,0,0.6666666666666666,3905.7999999999997,0.46475,8.342933893203735,1256,0.30609166666666665,0.63,0.3,0.07,0.9,0.4,0.1,42,steady,M5-NoNeg
25,"[True, False, False]",1,0,0,0.3333333333333333,4305.8,0.54525,8.913296937942505,1257,0.24690833333333334,0.63,0.3,0.07,0.9,0.4,0.0,42,steady,M5-NoNeg
26,"[True, False, False]",1,0,0,0.3333333333333333,5155.2,0.48174999999999996,8.804615020751953,1255,0.22785833333333333,0.63,0.3,0.07,0.9,0.4,0.0,42,steady,M5-NoNeg
