sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.15,0.84,0.15,0.37999999999999995,4671.839999999999,0.5238725,0.5771382893685053,8.23989531993866,124971,42,steady,M5-PA,823.989531993866
0.25,0.84,0.19,0.4266666666666666,5415.29,0.545935,0.6791013843985739,8.005827555656433,125101,123,steady,M5-PA,800.5827555656433
0.1,0.9,0.27,0.42333333333333334,5344.850666666666,0.5384475,0.6021204315526187,7.969488716125488,124798,456,steady,M5-PA,796.9488716125488
0.21,0.89,0.2,0.43333333333333335,5486.394666666665,0.5342925000000001,0.6429277942631058,8.027241697311402,124982,789,steady,M5-PA,802.7241697311401
0.15,0.9,0.15,0.39999999999999997,5762.02,0.5473225,0.5614035087719298,8.102414982318878,124838,1024,steady,M5-PA,810.2414982318878
0.05,0.89,0.15,0.36333333333333334,5115.390666666666,0.7521625000000001,0.48468159751968354,8.395623271465302,125112,42,burst,M5-PA,839.5623271465302
0.16,0.87,0.19,0.4066666666666667,5566.206666666668,0.7636775,0.6060754133072725,8.08461003780365,124909,123,burst,M5-PA,808.461003780365
0.04,0.98,0.27,0.43,5251.081999999999,0.75826,0.5359938158276163,6.595669646263122,124640,456,burst,M5-PA,659.5669646263123
0.07,0.94,0.1,0.37000000000000005,5905.094666666667,0.7578475000000001,0.45709515859766287,5.097911522388459,124825,789,burst,M5-PA,509.7911522388458
0.05,0.92,0.15,0.37333333333333335,5907.05,0.7674100000000001,0.47984086909953344,5.088797698020935,124706,1024,burst,M5-PA,508.8797698020935
