step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
0,"[True, True, False]",1,1,0,0.6666666666666666,5998.0,0.552,8.937083005905151,1251,0.4322666666666667,0.5,0.35,0.15000000000000002,1.0,1.0,0.0,42,steady,M5-PA
1,"[True, True, False]",1,1,0,0.6666666666666666,5680.0,0.452,7.672667741775513,1250,0.40226666666666666,0.5,0.4,0.09999999999999994,1.0,1.0,0.0,42,steady,M5-PA
2,"[False, True, True]",0,1,1,0.6666666666666666,5008.0,0.517,8.155970096588135,1260,0.4217666666666666,0.14999999999999997,0.55,0.3,0.6666666666666666,1.0,0.3333333333333333,42,steady,M5-PA
3,"[False, True, False]",0,1,0,0.3333333333333333,6604.0,0.44825000000000004,8.323410987854004,1266,0.29280833333333334,0.25,0.6,0.15000000000000002,0.5,1.0,0.25,42,steady,M5-PA
4,"[False, True, False]",0,1,0,0.3333333333333333,8076.0,0.46975,7.940722942352295,1265,0.2742583333333333,0.25000000000000006,0.7,0.05,0.4,1.0,0.2,42,steady,M5-PA
5,"[False, True, False]",0,1,0,0.3333333333333333,8345.999999999998,0.60775,8.630773067474365,1257,0.2989916666666666,0.14999999999999997,0.8,0.05,0.3333333333333333,1.0,0.16666666666666666,42,steady,M5-PA
6,"[False, True, False]",0,1,0,0.3333333333333333,7147.0,0.515,7.76050591468811,1253,0.2592619047619047,0.14999999999999997,0.8,0.05,0.2857142857142857,1.0,0.14285714285714285,42,steady,M5-PA
7,"[False, True, False]",0,1,0,0.3333333333333333,7324.0,0.49,8.59567403793335,1254,0.2428333333333333,0.10000000000000005,0.85,0.05,0.25,1.0,0.125,42,steady,M5-PA
8,"[False, True, False]",0,1,0,0.3333333333333333,6396.0,0.48725,9.573653936386108,1252,0.2350638888888889,0.05,0.9,0.05,0.2222222222222222,1.0,0.1111111111111111,42,steady,M5-PA
9,"[False, True, False]",0,1,0,0.3333333333333333,5275.0,0.546,8.089356899261475,1248,0.24713333333333332,0.05,0.9,0.05,0.2,1.0,0.1,42,steady,M5-PA
10,"[False, True, False]",0,1,0,0.3333333333333333,5422.0,0.43625,8.195233821868896,1241,0.19754166666666667,0.05,0.9,0.05,0.1,1.0,0.1,42,steady,M5-PA
11,"[True, False, True]",1,0,1,0.6666666666666666,5994.000000000001,0.54125,8.89839482307434,1262,0.29570833333333335,0.55,0.19999999999999998,0.24999999999999997,0.1,0.9,0.2,42,steady,M5-PA
12,"[True, False, False]",1,0,0,0.3333333333333333,7754.999999999999,0.636,8.524263858795166,1257,0.24079999999999996,0.65,0.3,0.05,0.2,0.8,0.1,42,steady,M5-PA
13,"[True, False, False]",1,0,0,0.3333333333333333,7396.999999999999,0.45575000000000004,8.771607875823975,1249,0.18672499999999997,0.5499999999999999,0.4,0.05,0.3,0.7,0.1,42,steady,M5-PA
14,"[True, True, False]",1,1,0,0.6666666666666666,5990.999999999999,0.43775,8.228232145309448,1249,0.26465833333333333,0.44999999999999996,0.5,0.05,0.4,0.7,0.1,42,steady,M5-PA
15,"[True, True, False]",1,1,0,0.6666666666666666,8505.0,0.4955,8.267154932022095,1265,0.29864999999999997,0.35000000000000003,0.6,0.05,0.5,0.7,0.1,42,steady,M5-PA
16,"[False, True, False]",0,1,0,0.3333333333333333,7558.0,0.47725,8.4095299243927,1262,0.2265083333333333,0.25000000000000006,0.7,0.05,0.5,0.7,0.1,42,steady,M5-PA
17,"[False, True, False]",0,1,0,0.3333333333333333,6995.999999999998,0.57725,8.88442063331604,1279,0.2565083333333333,0.14999999999999997,0.8,0.05,0.5,0.7,0.1,42,steady,M5-PA
18,"[True, True, True]",1,1,1,1.0,6333.333333333332,0.44925,7.415493965148926,1251,0.384775,0.3833333333333333,0.2833333333333333,0.3333333333333333,0.6,0.7,0.2,42,steady,M5-PA
19,"[True, True, True]",1,1,1,1.0,6310.0,0.46075000000000005,9.218554019927979,1262,0.42155833333333337,0.45,0.35,0.2,0.7,0.7,0.3,42,steady,M5-PA
20,"[True, False, True]",1,0,1,0.6666666666666666,4533.333333333332,0.6054999999999999,8.119755029678345,1264,0.41498333333333326,0.5166666666666666,0.06666666666666665,0.4166666666666667,0.8,0.6,0.4,42,steady,M5-PA
21,"[False, True, True]",0,1,1,0.6666666666666666,2873.0,0.4435,8.615957021713257,1262,0.3663833333333333,0.15000000000000002,0.2,0.65,0.7,0.7,0.4,42,steady,M5-PA
22,"[False, True, True]",0,1,1,0.6666666666666666,3332.0,0.5365,8.517260074615479,1262,0.4109499999999999,0.2,0.25,0.5499999999999999,0.6,0.8,0.5,42,steady,M5-PA
23,"[False, True, False]",0,1,0,0.3333333333333333,3412.0,0.62775,8.80941891670227,1245,0.37165833333333326,0.3,0.3,0.39999999999999997,0.5,0.9,0.5,42,steady,M5-PA
24,"[False, True, False]",0,1,0,0.3333333333333333,3607.9999999999995,0.46475,7.664082765579224,1243,0.3060916666666666,0.4,0.4,0.1999999999999999,0.4,0.9,0.5,42,steady,M5-PA
25,"[False, True, False]",0,1,0,0.3333333333333333,4167.0,0.54525,7.630836009979248,1243,0.313575,0.44999999999999996,0.5,0.05,0.3,0.9,0.5,42,steady,M5-PA
26,"[True, True, False]",1,1,0,0.6666666666666666,4160.0,0.48174999999999996,7.727658033370972,1247,0.3778583333333333,0.35000000000000003,0.6,0.05,0.4,0.9,0.5,42,steady,M5-PA
27,"[False, True, False]",0,1,0,0.3333333333333333,4157.0,0.7005,8.700079202651978,1248,0.37681666666666663,0.25000000000000006,0.7,0.05,0.4,0.9,0.5,42,steady,M5-PA
28,"[False, True, False]",0,1,0,0.3333333333333333,4793.0,0.5355,8.101845979690552,1248,0.2939833333333333,0.14999999999999997,0.8,0.05,0.3,0.9,0.4,42,steady,M5-PA
29,"[False, True, False]",0,1,0,0.3333333333333333,4759.0,0.48174999999999996,10.451643228530884,1248,0.244525,0.05,0.9,0.05,0.2,0.9,0.3,42,steady,M5-PA
30,"[False, True, False]",0,1,0,0.3333333333333333,6365.0,0.62125,9.154233932495117,1249,0.26970833333333327,0.05,0.9,0.05,0.1,1.0,0.2,42,steady,M5-PA
31,"[False, True, False]",0,1,0,0.3333333333333333,4770.0,0.4675,9.060257196426392,1247,0.2069166666666667,0.05,0.9,0.05,0.1,1.0,0.1,42,steady,M5-PA
32,"[False, True, False]",0,1,0,0.3333333333333333,4852.0,0.52625,9.401532888412476,1249,0.20787499999999998,0.05,0.9,0.05,0.1,1.0,0.0,42,steady,M5-PA
33,"[True, False, True]",1,0,1,0.6666666666666666,5172.0,0.51725,8.405245065689087,1243,0.28850833333333337,0.55,0.19999999999999998,0.24999999999999997,0.2,0.9,0.1,42,steady,M5-PA
34,"[True, False, False]",1,0,0,0.3333333333333333,5186.000000000001,0.493,7.091529130935669,1250,0.21456666666666668,0.65,0.3,0.05,0.3,0.8,0.1,42,steady,M5-PA
35,"[True, True, False]",1,1,0,0.6666666666666666,5378.0,0.547,7.949907064437866,1258,0.31410000000000005,0.5499999999999999,0.4,0.05,0.4,0.8,0.1,42,steady,M5-PA
36,"[False, True, False]",0,1,0,0.3333333333333333,5925.0,0.6082500000000001,7.28759503364563,1260,0.2491416666666667,0.44999999999999996,0.5,0.05,0.3,0.8,0.1,42,steady,M5-PA
37,"[False, True, False]",0,1,0,0.3333333333333333,4761.0,0.50625,8.129775762557983,1249,0.2185416666666667,0.35000000000000003,0.6,0.05,0.3,0.8,0.1,42,steady,M5-PA
38,"[False, True, False]",0,1,0,0.3333333333333333,5335.0,0.45575000000000004,7.107501983642578,1245,0.2033916666666667,0.25000000000000006,0.7,0.05,0.3,0.8,0.1,42,steady,M5-PA
39,"[False, True, False]",0,1,0,0.3333333333333333,4388.0,0.64,6.930061101913452,1256,0.25866666666666666,0.14999999999999997,0.8,0.05,0.3,0.8,0.1,42,steady,M5-PA
40,"[False, True, False]",0,1,0,0.3333333333333333,5223.0,0.564,6.2770891189575195,1245,0.23586666666666667,0.05,0.9,0.05,0.3,0.8,0.1,42,steady,M5-PA
41,"[False, True, False]",0,1,0,0.3333333333333333,5223.0,0.552,7.408825874328613,1252,0.23226666666666668,0.05,0.9,0.05,0.3,0.8,0.1,42,steady,M5-PA
42,"[False, True, True]",0,1,1,0.6666666666666666,3819.999999999999,0.52625,6.597824811935425,1244,0.307875,0.3833333333333333,0.2833333333333333,0.3333333333333333,0.3,0.8,0.2,42,steady,M5-PA
43,"[False, False, False]",0,0,0,0.0,3090.0,0.43475,6.980547189712524,1241,0.11375833333333335,0.5,0.35,0.15000000000000002,0.2,0.8,0.1,42,steady,M5-PA
44,"[False, False, True]",0,0,1,0.3333333333333333,2210.0,0.50725,8.292242050170898,1243,0.20217499999999994,0.6166666666666667,0.06666666666666668,0.31666666666666665,0.1,0.8,0.2,42,steady,M5-PA
45,"[False, False, False]",0,0,0,0.0,2450.0,0.629,6.988721132278442,1245,0.1387,0.75,0.15,0.10000000000000005,0.0,0.7,0.2,42,steady,M5-PA
46,"[False, True, True]",0,1,1,0.6666666666666666,2600.0,0.63125,6.738315105438232,1244,0.28937499999999994,0.25,0.4,0.35000000000000003,0.0,0.7,0.3,42,steady,M5-PA
47,"[False, True, False]",0,1,0,0.3333333333333333,3003.0,0.58375,7.151388883590698,1243,0.2084583333333333,0.44999999999999996,0.5,0.05,0.0,0.7,0.3,42,steady,M5-PA
48,"[False, True, False]",0,1,0,0.3333333333333333,2540.0,0.4635,7.508995056152344,1250,0.17238333333333328,0.35000000000000003,0.6,0.05,0.0,0.7,0.3,42,steady,M5-PA
49,"[False, True, False]",0,1,0,0.3333333333333333,2283.0,0.49524999999999997,6.929413080215454,1245,0.18190833333333328,0.25000000000000006,0.7,0.05,0.0,0.7,0.3,42,steady,M5-PA
50,"[False, True, False]",0,1,0,0.3333333333333333,2342.9999999999995,0.53025,9.007910966873169,1245,0.1924083333333333,0.14999999999999997,0.8,0.05,0.0,0.7,0.3,42,steady,M5-PA
51,"[False, False, True]",0,0,1,0.3333333333333333,2820.0,0.42075,7.3665452003479,1241,0.1595583333333333,0.48333333333333334,0.23333333333333336,0.2833333333333334,0.0,0.6,0.4,42,steady,M5-PA
52,"[False, False, False]",0,0,0,0.0,2480.0,0.4645,7.765496015548706,1240,0.07268333333333332,0.6,0.35,0.050000000000000114,0.0,0.5,0.3,42,steady,M5-PA
53,"[False, True, False]",0,1,0,0.3333333333333333,3259.0,0.4805,7.593024015426636,1236,0.16081666666666666,0.44999999999999996,0.5,0.05,0.0,0.6,0.3,42,steady,M5-PA
54,"[False, True, False]",0,1,0,0.3333333333333333,2000.0,0.38275,9.056266784667969,1259,0.13149166666666662,0.35000000000000003,0.6,0.05,0.0,0.7,0.2,42,steady,M5-PA
55,"[False, True, False]",0,1,0,0.3333333333333333,3365.0000000000005,0.5507500000000001,8.599772930145264,1246,0.19855833333333334,0.25000000000000006,0.7,0.05,0.0,0.8,0.2,42,steady,M5-PA
56,"[False, True, False]",0,1,0,0.3333333333333333,4970.0,0.47275,8.71876311302185,1244,0.15849166666666664,0.14999999999999997,0.8,0.05,0.0,0.8,0.1,42,steady,M5-PA
57,"[False, True, False]",0,1,0,0.3333333333333333,4667.0,0.5695,7.350097179412842,1237,0.1875166666666666,0.05,0.9,0.05,0.0,0.8,0.1,42,steady,M5-PA
58,"[False, True, False]",0,1,0,0.3333333333333333,3747.0,0.6175,7.609624147415161,1241,0.20191666666666663,0.05,0.9,0.05,0.0,0.8,0.1,42,steady,M5-PA
59,"[False, True, False]",0,1,0,0.3333333333333333,2973.0,0.51475,7.701693058013916,1261,0.17109166666666664,0.05,0.9,0.05,0.0,0.8,0.1,42,steady,M5-PA
60,"[False, True, True]",0,1,1,0.6666666666666666,2559.9999999999995,0.51,8.552683115005493,1238,0.253,0.3833333333333333,0.2833333333333333,0.3333333333333333,0.0,0.8,0.2,42,steady,M5-PA
61,"[False, True, False]",0,1,0,0.3333333333333333,3131.0,0.58325,8.187976360321045,1245,0.20830833333333332,0.5,0.35,0.15000000000000002,0.0,0.9,0.1,42,steady,M5-PA
62,"[False, True, False]",0,1,0,0.3333333333333333,2360.0,0.5085000000000001,7.731866121292114,1245,0.20255,0.44999999999999996,0.5,0.05,0.0,1.0,0.1,42,steady,M5-PA
63,"[False, True, False]",0,1,0,0.3333333333333333,1360.0,0.46675,8.559791088104248,1242,0.19002499999999994,0.39999999999999997,0.55,0.05,0.0,1.0,0.1,42,steady,M5-PA
64,"[False, True, False]",0,1,0,0.3333333333333333,1770.0,0.4025,9.102567911148071,1247,0.17075,0.35000000000000003,0.6,0.05,0.0,1.0,0.1,42,steady,M5-PA
65,"[False, True, False]",0,1,0,0.3333333333333333,3449.0,0.494,8.002760171890259,1253,0.1982,0.3,0.65,0.05,0.0,1.0,0.1,42,steady,M5-PA
66,"[False, True, False]",0,1,0,0.3333333333333333,5126.0,0.45549999999999996,7.661021947860718,1252,0.18664999999999998,0.25000000000000006,0.7,0.05,0.0,1.0,0.1,42,steady,M5-PA
67,"[False, True, False]",0,1,0,0.3333333333333333,5512.0,0.595,9.642315149307251,1255,0.22849999999999998,0.2,0.75,0.05,0.0,1.0,0.1,42,steady,M5-PA
68,"[False, True, False]",0,1,0,0.3333333333333333,5944.999999999999,0.54025,8.1160569190979,1252,0.21207499999999996,0.14999999999999997,0.8,0.05,0.0,1.0,0.1,42,steady,M5-PA
69,"[False, True, False]",0,1,0,0.3333333333333333,6396.0,0.5815,7.672820329666138,1253,0.22444999999999998,0.10000000000000005,0.85,0.05,0.0,1.0,0.1,42,steady,M5-PA
70,"[False, True, False]",0,1,0,0.3333333333333333,6426.0,0.5525,7.8109681606292725,1239,0.19908333333333328,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
71,"[False, True, False]",0,1,0,0.3333333333333333,6514.0,0.5635,7.879436016082764,1241,0.2023833333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
72,"[False, True, False]",0,1,0,0.3333333333333333,7558.0,0.57775,8.499321937561035,1239,0.20665833333333328,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
73,"[False, True, False]",0,1,0,0.3333333333333333,8615.999999999998,0.50225,8.235196828842163,1247,0.18400833333333327,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
74,"[False, True, False]",0,1,0,0.3333333333333333,8615.999999999998,0.62725,7.92864203453064,1261,0.22150833333333325,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
75,"[False, True, False]",0,1,0,0.3333333333333333,7500.0,0.69075,8.749747037887573,1259,0.24055833333333326,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
76,"[False, True, False]",0,1,0,0.3333333333333333,6440.0,0.6265,8.050546884536743,1245,0.22128333333333328,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
77,"[False, True, False]",0,1,0,0.3333333333333333,6440.0,0.594,8.445123195648193,1259,0.2115333333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
78,"[False, True, False]",0,1,0,0.3333333333333333,5296.0,0.6164999999999999,7.944761037826538,1239,0.21828333333333327,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
79,"[False, True, False]",0,1,0,0.3333333333333333,6285.0,0.4415,7.3531670570373535,1241,0.16578333333333328,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
80,"[False, True, False]",0,1,0,0.3333333333333333,5243.0,0.4235,7.535649061203003,1246,0.16038333333333327,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
81,"[False, True, False]",0,1,0,0.3333333333333333,5223.0,0.526,9.514723062515259,1260,0.19113333333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
82,"[False, True, False]",0,1,0,0.3333333333333333,7329.0,0.62225,9.247698307037354,1239,0.2200083333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
83,"[False, True, False]",0,1,0,0.3333333333333333,6365.0,0.521,9.113943099975586,1257,0.18963333333333326,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
84,"[False, True, False]",0,1,0,0.3333333333333333,5223.0,0.44549999999999995,8.333927154541016,1239,0.16698333333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
85,"[False, True, False]",0,1,0,0.3333333333333333,3704.0,0.61625,7.544095993041992,1242,0.21820833333333328,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
86,"[False, True, False]",0,1,0,0.3333333333333333,3827.0,0.49975,9.849617004394531,1245,0.1832583333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
87,"[False, True, False]",0,1,0,0.3333333333333333,3797.0,0.45799999999999996,8.338152885437012,1241,0.1707333333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
88,"[False, True, False]",0,1,0,0.3333333333333333,2900.0,0.50325,8.73305082321167,1233,0.1843083333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
89,"[False, False, True]",0,0,1,0.3333333333333333,2210.0,0.36225,8.375304937362671,1237,0.1420083333333333,0.55,0.19999999999999998,0.24999999999999997,0.0,0.9,0.1,42,steady,M5-PA
90,"[True, False, False]",1,0,0,0.3333333333333333,3339.0,0.44049999999999995,7.374802112579346,1244,0.16548333333333326,0.65,0.3,0.05,0.1,0.8,0.1,42,steady,M5-PA
91,"[False, True, False]",0,1,0,0.3333333333333333,2763.0,0.51375,9.756783723831177,1266,0.18745833333333334,0.5499999999999999,0.4,0.05,0.1,0.8,0.1,42,steady,M5-PA
92,"[False, True, False]",0,1,0,0.3333333333333333,2783.0,0.581,10.0109281539917,1247,0.20763333333333328,0.44999999999999996,0.5,0.05,0.1,0.8,0.1,42,steady,M5-PA
93,"[False, True, False]",0,1,0,0.3333333333333333,2511.0,0.51625,8.69498586654663,1255,0.18820833333333326,0.35000000000000003,0.6,0.05,0.1,0.8,0.1,42,steady,M5-PA
94,"[False, False, False]",0,0,0,0.0,1605.0000000000005,0.49225,8.338255882263184,1246,0.09767500000000001,0.25000000000000006,0.7,0.05,0.1,0.7,0.1,42,steady,M5-PA
