sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.32,0.61,0.73,0.5533333333333333,4309.312093088128,0.5238725,0.9117861160743829,8.198329563140868,125208,42,steady,M5-PC,819.8329563140869
0.29,0.77,0.78,0.6133333333333334,4862.7278941383665,0.545935,0.8779627612675691,7.75654278755188,125295,123,steady,M5-PC,775.654278755188
0.17,0.96,0.73,0.62,4715.9801681533145,0.5384475,0.7774032627747065,8.003844594955444,125102,456,steady,M5-PC,800.3844594955444
0.38,0.73,0.69,0.6,4803.331835587682,0.5342925000000001,0.9363620599965319,7.9674956369400025,125449,789,steady,M5-PC,796.7495636940002
0.22,0.83,0.56,0.5366666666666667,4483.30547451126,0.5473225,0.822184159609224,7.755255324840546,125166,1024,steady,M5-PC,775.5255324840546
0.25,0.78,0.75,0.5933333333333334,4751.091406159177,0.7521625000000001,0.8562780390249176,8.30647715806961,125482,42,burst,M5-PC,830.6477158069611
0.16,0.82,0.81,0.5966666666666667,4890.769362940059,0.7636775,0.7887403687566158,7.724363346099853,125273,123,burst,M5-PC,772.4363346099854
0.19,0.9,0.84,0.6433333333333334,4449.024197899191,0.75826,0.8001761508882734,6.928718140125275,125527,456,burst,M5-PC,692.8718140125275
0.23,0.91,0.65,0.5966666666666667,4632.138096371389,0.7578475000000001,0.81935813834548,5.03189062833786,125144,789,burst,M5-PC,503.189062833786
0.06,0.94,0.8,0.6,4525.549531096482,0.7674100000000001,0.7071765322158199,5.17362390756607,125312,1024,burst,M5-PC,517.362390756607
