step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
0,"[True, False, True]",1,0,1,0.6666666666666666,5784.0,0.552,8.55928111076355,1258,0.4322666666666667,0.5,0.3,0.2,1.0,0.0,1.0,42,steady,M5-PC
1,"[True, False, False]",1,0,0,0.3333333333333333,5310.0,0.452,8.278114080429077,1255,0.25226666666666664,0.5,0.3,0.2,1.0,0.0,0.5,42,steady,M5-PC
2,"[True, False, False]",1,0,0,0.3333333333333333,5552.0,0.517,7.117263078689575,1244,0.24398888888888887,0.5,0.3,0.2,1.0,0.0,0.3333333333333333,42,steady,M5-PC
3,"[False, True, True]",0,1,1,0.6666666666666666,4889.411764705882,0.44825000000000004,7.487648010253906,1257,0.31780833333333336,0.058823529411764705,0.47058823529411764,0.47058823529411764,0.75,0.25,0.5,42,steady,M5-PC
4,"[False, True, True]",0,1,1,0.6666666666666666,7144.347826086955,0.46975,8.025567054748535,1239,0.34092500000000003,0.13043478260869565,0.6521739130434783,0.2173913043478261,0.6,0.4,0.6,42,steady,M5-PC
5,"[False, True, True]",0,1,1,0.6666666666666666,7106.666666666667,0.60775,7.98895001411438,1258,0.3934361111111111,0.14285714285714285,0.6190476190476191,0.23809523809523808,0.5,0.5,0.6666666666666666,42,steady,M5-PC
6,"[False, True, False]",0,1,0,0.3333333333333333,6022.799999999999,0.515,7.407950162887573,1243,0.2830714285714286,0.14,0.62,0.24,0.42857142857142855,0.5714285714285714,0.5714285714285714,42,steady,M5-PC
7,"[False, True, True]",0,1,1,0.6666666666666666,6262.641509433963,0.49,8.45383596420288,1258,0.3511666666666666,0.18867924528301888,0.5849056603773585,0.22641509433962262,0.375,0.625,0.625,42,steady,M5-PC
8,"[False, True, True]",0,1,1,0.6666666666666666,5443.92156862745,0.48725,7.8962390422821045,1242,0.3572861111111111,0.18627450980392157,0.5686274509803921,0.24509803921568626,0.3333333333333333,0.6666666666666666,0.6666666666666666,42,steady,M5-PC
9,"[False, True, True]",0,1,1,0.6666666666666666,4468.9285714285725,0.546,9.617245197296143,1262,0.3804666666666666,0.22321428571428573,0.5089285714285714,0.26785714285714285,0.3,0.7,0.7,42,steady,M5-PC
10,"[True, True, True]",1,1,1,1.0,5254.594594594594,0.43625,8.017570972442627,1251,0.430875,0.2702702702702703,0.45945945945945954,0.2702702702702703,0.3,0.8,0.7,42,steady,M5-PC
11,"[False, True, True]",0,1,1,0.6666666666666666,5256.936936936937,0.54125,8.885090827941895,1251,0.41237500000000005,0.3153153153153153,0.41441441441441446,0.2702702702702703,0.2,0.9,0.8,42,steady,M5-PC
12,"[True, True, True]",1,1,1,1.0,6577.117117117117,0.636,8.036783933639526,1244,0.5408000000000001,0.3603603603603604,0.36936936936936937,0.2702702702702703,0.2,1.0,0.9,42,steady,M5-PC
13,"[True, False, True]",1,0,1,0.6666666666666666,6670.769230769231,0.45575000000000004,7.259644985198975,1251,0.4200583333333334,0.38461538461538464,0.3557692307692307,0.25961538461538464,0.3,0.9,0.9,42,steady,M5-PC
14,"[True, True, True]",1,1,1,1.0,5938.378378378378,0.43775,7.469286203384399,1248,0.4979916666666667,0.4054054054054055,0.32432432432432434,0.2702702702702703,0.4,0.9,0.9,42,steady,M5-PC
15,"[True, False, True]",1,0,1,0.6666666666666666,7990.654205607476,0.4955,8.447012901306152,1262,0.44865,0.4205607476635514,0.29906542056074764,0.2803738317757009,0.5,0.8,0.9,42,steady,M5-PC
